test_id,score,iteration,level,type,pair_id,real,fake,true_answer,user_answer,correct,time,tau,model,genlevel,conditional
37,2,1,0,forreal,73cb01fe,,"okay (okay) okay, okay (okay)
yo, that's what i'm saying motherfuckers
i got something in my mind, i be shitting on you",2,2,True,1316,0.659246354453005,CharLanguageModel.2018-08-06+17:01:47,char,True
37,2,2,0,choose,741b571a,"i'm tryin to live comfortably and have the things that i need
its true the best things in life are free
but i got people in my face that are influenced by hate and pride
hiding behind their ego's engulfed in lies","say goodbye
i know it's true
i ain't hard to find
i'm feeling myself",2,2,True,896,0.4855158302224193,HybridLanguageModel.2018-08-15+12:35:02,hybrid,True
37,2,3,0,choose,7436516b,"i annihilate, as i articulate
words of power, your ryhmes are unconfounding so death's your fate","my name is krs-one
you know what it is?
i don't wanna come home
city's here",2,0,False,inf,0.8288803576816471,CharLanguageModel.2018-08-13+17:31:16,char,False
37,2,4,0,choose,72998a8a,"flew over the road to the riches, went right to the fortune
make sean combs look like sean prince when i'm flossing","i can't get the rubies, i aint goin out
hood life",2,0,False,inf,0.9027466627464021,CharLanguageModel.2018-08-06+17:01:47,char,True
37,2,5,0,forreal,72cf51da,"i represent honies with money, fly guys, and jets
ride with the tints that be thirty-five percent
hoes hope i lay, so i look both ways",,1,0,False,inf,0.37831496847632884,HybridLanguageModel.2018-08-15+12:35:02,hybrid,True
37,2,1,1,choose,6fa681fb,"let us start to freak you and we'll make you feel alright
when you come to cypress hill make sure that you're down with the tribe
cause we're born to get busy, born to get busy baby","you're so beautiful
baby, baby, baby, baby
keep it gangsta nigga, keep it gangsta
i'm in the building lookin out for the money",1,0,False,inf,0.43161124725938155,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
37,2,2,1,forreal,6ecf6acd,"can i walk you to your next class i hope that you don't mind
(well since you ask so nice, that would be fine)",,1,0,False,inf,0.8686813121477638,RNNLanguageModel.2018-08-13+10:23:55,syl,False
37,2,3,1,choose,6e627660,"for all the muthafuckin runaways out there
i mean all us niggas that been incarcerated by technology
by life, by the judicial system, (run nigga run)","my thoughts completely utilizing
i don't know so i'd like to tell your girl
but you won't come to the hospital",2,0,False,inf,0.9541813286141105,RNNLanguageModel.2018-08-13+10:23:55,syl,False
37,2,4,1,forreal,6fdc8bb2,,"check it out, check it out, check it out, check it out
and y'all revolutionaries in the room run the crowd
think about it, nigga gotta get it, you got it?
hey can't you see, you can take me, you know you love me",2,0,False,inf,0.8205041045635519,CharLanguageModel.2018-08-06+17:01:47,char,True
37,2,5,1,forreal,6edc9639,"my opportunity came and i felt great
pops left the house and forget to grab his 38
tonight was the night to make this shit cease",,1,0,False,inf,0.7771738333768617,CharLanguageModel.2018-08-13+17:31:16,char,False
37,2,1,2,choose,6b79a475,"fillin me, killa bee sting
it's been too long, should of broke through all along
i'm born, hot sexy, young doves on the block
recognize me, fork in the road, i chose wisely","i'm a o.g., i don't give a fuck
i'm a g, yella on me",2,0,False,inf,0.8885211012304147,CharLanguageModel.2018-08-13+17:31:16,char,False
38,0,1,0,forreal,741b59db,"(let em know), with a big muddy cup and a ounce to burn
(let em know), we thoed swanging bounce and turn
(let em know), with a big muddy cup and a ounce to burn",,1,0,False,inf,0.8133690986274507,RNNLanguageModel.2018-08-01+19:33:04,syl,True
38,0,2,0,choose,736e6b5b,"mmg we in this bitch we party hard now we don't play
we stackin chips like frito lay, flexin on these mu 'fuckers
i walk in the buildin and i'm fresher than a mu 'fucker (mu' fucker)","y 'knahmean?
(1st verse)
is just possibilities?
oh, oh, oh, oh, oh oh oh, oh...",2,0,False,inf,0.93841053229519,RNNLanguageModel.2018-08-01+19:33:04,syl,True
38,0,3,0,choose,737bda70,"and your girl's lonely, is she needing loving?
check it out, i'll bone her and you won't even owe me nothing
yeah i'm kinda shameless, that's why i'm a crowd favorite","yeah, come on
you never want to get with me from where i come from
i need some cigars",2,0,False,inf,0.60517409796632,CharLanguageModel.2018-08-06+17:01:47,char,True
38,0,4,0,choose,73d82e1b,"playing that motherfucking innocent role
known all the time you like lick the booty hole","give it to me
i don't give a fuck (i don't give a fuck)",2,0,False,inf,0.7257500344696285,RNNLanguageModel.2018-08-01+19:33:04,syl,True
38,0,5,0,forreal,72cf4eff,,"fo' sho '
come and get me
i do what i gotta do, where my style is real",2,0,False,inf,0.7757673904175584,CharLanguageModel.2018-08-06+17:01:47,char,True
38,0,1,1,choose,6f63e75e,"i am untouchable so don't ask me how i feel
real people ain't have to say it so don't ask me if i'm real
make a girl squeal, have her acting like a seal
i turned on the news, paris hilton going to jail","(this one's for you)
but here i come
everything's gonna be alright
the poem",1,0,False,inf,0.8207136202650949,RNNLanguageModel.2018-08-13+10:23:55,syl,False
38,0,2,1,choose,6f21606a,"niggas you can't fuck with me
i'm thorough like that brooklyn borough
detroit, down to chicago, p. j. 's and down at magnolia don't fuck around","here we go
you don't won't test
like that for me?
so lets go",2,0,False,inf,0.9059235795673226,CharLanguageModel.2018-08-13+17:31:16,char,False
38,0,3,1,choose,6fa6818c,"you couldnt be a betta player then me, you aint got enough game
you couldnt take her from me, you aint even have a chance
not with me in the picture","listen, listen, listen
you know the situation, pay attention",2,0,False,inf,0.39553161914342644,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
38,0,4,1,forreal,6fdc8929,,"baby, baby, baby, baby, baby, baby
it's a natural disaster
there's something about you
i gotta make it complicated",2,0,False,inf,0.47350671377549963,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
38,0,5,1,forreal,701f38eb,,"you and me
with that gangsta shit
this is street life",2,0,False,inf,0.7942531382891211,RNNLanguageModel.2018-08-13+10:23:55,syl,False
38,0,1,2,forreal,6be41df1,,"get em, i got 'em, i got 'em
i had to live my life, someone doin it well
get it how you get it, you gotta be, you don't want it
i'm smokin on that ass, hollow points till i got some hits",2,0,False,inf,0.7254299213003513,CharLanguageModel.2018-08-06+17:01:47,char,True
39,2,1,0,choose,7450c0b5,"until i noticed those rips in my sheets
and that was proof that there had been a nightmare, on my street","and what? alright motherfuck
if you shoot
i wanna get closer to the man",2,2,True,1238,0.9399025402765189,CharLanguageModel.2018-08-13+17:31:16,char,False
39,2,2,0,choose,72f699ea,"ruff roughed the incredible one soopafly come with the bomb
a pound to brake a motherfucker down
surrounded by subliminal thoughts to keep me criminal minded","ay, look at that, what you drinking on?
break it down, break it down, tear it down (tear it down)
alright, alright, alright
this is real life, y 'knahmsayin?",1,0,False,inf,0.8566532274126925,RNNLanguageModel.2018-08-01+19:33:04,syl,True
39,2,3,0,choose,737bdbea,"i'm flipping pounds like balance beams
notch!","it's nothin, i don't know nothin
and all the things you do",2,0,False,inf,0.5777581479599481,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
39,2,4,0,forreal,727901a5,"you shoulda seen, lil' ro
flat top with a part, borrowing sugar from next do '
but oh the rent's due, plus you got money to pay back",,1,0,False,inf,0.7974472604042845,RNNLanguageModel.2018-08-13+10:23:55,syl,False
39,2,5,0,forreal,7450c1a3,,"uhh, yeah
i don't even think about it
these niggaz hatin in my community",2,0,False,inf,0.4920780656193177,HybridLanguageModel.2018-08-15+12:35:02,hybrid,True
39,2,1,1,forreal,6ec19ac7,"cruise in my lexus land with no mileage
while you walk the street until your feet get calloused
take you on a natural high, like a pilot",,1,0,False,inf,0.5441106718770058,HybridLanguageModel.2018-08-15+12:35:02,hybrid,True
39,2,2,1,forreal,6e7d9b8d,,"it's something that i couldn't understand
everlasting on the premises
ladies and gentleman
i'm a gangsta, i'm a gangsta",2,0,False,inf,0.42480477010163686,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
39,2,3,1,choose,6f129025,"i threw him off and picked up a fool passing out flyers wearing a head wrap
but he was an undercover agent on special assignment
to serve me and my incredible rhyme clique","this is a positive education
money, money, money, money, money, money
gutter and better, never settle
god damn, ain't no stoppin",1,0,False,inf,0.5378842581625756,HybridLanguageModel.2018-08-15+14:33:35,hybrid,False
39,2,4,1,forreal,6fdc89f5,,"but you're the one for me
when we come around
(fuck that shit)
where you at, where you at?",2,0,False,inf,0.731417325551954,RNNLanguageModel.2018-08-13+10:23:55,syl,False
